,title,recipe_data_output,model_output
209,carrot bread,"[""'sugar'"", ""'oil'"", ""'eggs'"", ""'flour'"", ""'baking soda'"", ""'baking powder'"", ""'cinnamon'"", ""'carrots'"", ""'nuts'""]","

Flour, sugar, baking powder, baking soda, salt, cinnamon, nutmeg, eggs, vegetable oil, carrots, walnuts (optional)"
210,mistletoe punch,"[""'frozen lemonade concentrate'"", ""'orange juice concentrate'"", ""'water'"", ""'grenadine syrup'"", ""'ginger ale'"", ""'maraschino cherries'""]","

Rum, cranberry juice, orange juice, lime juice, simple syrup, sparkling water, mint leaves, pomegranate seeds, ice cubes."
211,mixed vegetable casserole,"[""'veg-all'"", ""'onion'"", ""'water chestnuts'"", ""'grated cheese'"", ""'mayonnaise'"", ""'roll'"", ""'margarine'""]","

Carrots, Potatoes, Broccoli, Peas, Onion, Garlic, Olive Oil, Salt, Pepper"
212,cheeseburger crescent bake  hour,"[""'ground beef'"", ""'crescent rolls'"", ""'onion'"", ""'worcestershire sauce'"", ""'lemon juice'"", ""'paprika'"", ""'garlic powder'"", ""'salt'"", ""'pepper'"", ""'shredded cheese'"", ""'egg'""]","

Ground beef, crescent rolls, cream cheese, onion, garlic, Worcestershire sauce, ketchup, mustard, cheddar cheese, salt, pepper."
213,do unkles pumpkin cake,"[""'sugar'"", ""'flour'"", ""'pumpkin'"", ""'salt'"", ""'cinnamon'"", ""'nutmeg'"", ""'soda'"", ""'oil'"", ""'eggs'"", ""'baking powder'"", ""'walnuts'""]","

Flour, Baking Soda, Salt, Cinnamon, Nutmeg, Cloves, Allspice, Butter, Sugar, Eggs, Pumpkin Puree, Milk, Vanilla Extract"
214,colonial cheese biscuits,"[""'cheddar cheese'"", ""'butter'"", ""'flour'"", ""'salt'"", ""'paprika'"", ""'confectioners sugar'""]","

Flour, baking powder, sugar, butter, salt, cheddar cheese, milk"
215,simple salsa dip,"[""'salsa'"", ""'american cheese'"", ""'beans'""]","

Tomatoes, Onion, Jalapeno, Garlic, Lime Juice, Cilantro, Salt, Pepper"
216,any flavor pan dessert,"[""'flour'"", ""'butter'"", ""'pecans'"", ""'sugar'"", ""'cream cheese'"", ""'powdered sugar'"", ""'instant pudding'"", ""'milk'""]","

Cake mix, eggs, butter, oil, water, sugar, vanilla extract, baking powder, salt, nuts, chocolate chips, coconut flakes, fruit, cream cheese, caramel sauce."
217,mexican casserole,"[""'fritos'"", ""'ground beef'"", ""'onion'"", ""'mushroom soup'"", ""'cream of chicken soup'"", ""'milk'"", ""'cheese'""]","

Tortillas, black beans, ground beef, onion, garlic, tomatoes, jalapenos, cheddar cheese, sour cream, cilantro, chili powder, cumin, oregano, salt, pepper"
218,apple sour cream coffee cake,"[""'flour'"", ""'baking soda'"", ""'salt'"", ""'butter'"", ""'sugar'"", ""'eggs'"", ""'vanilla'"", ""'sour cream'"", ""'sugar'"", ""'cinnamon'"", ""'nuts'"", ""'apples'""]","

Flour, Sugar, Baking Powder, Salt, Butter, Eggs, Vanilla Extract, Sour Cream, Apples, Cinnamon, Brown Sugar"
219,snickerdoodles,"[""'sugar'"", ""'margarine'"", ""'vegetable shortening'"", ""'eggs'"", ""'cinnamon'"", ""'flour'"", ""'cream of tartar'"", ""'baking soda'"", ""'salt'"", ""'sugar'""]","

Flour, sugar, butter, eggs, cream of tartar, baking soda, salt, cinnamon, nutmeg"
220,spaghetti salad,"[""'spaghetti'"", ""'cucumbers'"", ""'tomatoes'"", ""'stalks celery'"", ""'green pepper'"", ""'onions'"", ""'italian salad dressing'"", ""'salad supreme'""]","

Tomatoes, Onions, Olives, Cucumbers, Carrots, Garlic, Olive Oil, Red Wine Vinegar, Salt, Pepper, Spaghetti, Parmesan Cheese"
221,spanish meat balls,"[""'ground meat'"", ""'bread'"", ""'onion'"", ""'rice'"", ""'chili powder'"", ""'allspice'"", ""'eggs'"", ""'salt'"", ""'green pepper'"", ""'tomato soup'"", ""'water'"", ""'chili powder'""]","

Ground beef, onion, garlic, breadcrumbs, parsley, paprika, cumin, egg, olive oil, salt, pepper."
222,broccoli cornbread,"[""'corn muffin'"", ""'margarine'"", ""'eggs'"", ""'egg whites'"", ""'sour cream'"", ""'broccoli'"", ""'onion'""]","

Flour, cornmeal, baking powder, salt, butter, eggs, milk, broccoli, cheddar cheese"
223,fried onion rings,"[""'sweet onions'"", ""'egg'"", ""'water'"", ""'vegetable oil'"", ""'lemon juice'"", ""'flour'"", ""'baking powder'"", ""'salt'"", ""'cayenne pepper'"", ""'oil'""]","

Onion, Flour, Salt, Pepper, Egg, Milk, Breadcrumbs"
224,mayonnaise rolls,"[""'white lily'"", ""'mayonnaise'"", ""'sweet milk'"", ""'salt'""]","

Flour, butter, mayonnaise, sugar, salt, baking powder, milk, eggs"
225,cheeseburger loaf,"[""'milk'"", ""'egg'"", ""'cracker crumbs'"", ""'ground chuck'"", ""'onion'"", ""'salt'"", ""'dry mustard'"", ""'ketchup'"", ""'american cheese'""]","

Ground beef, onion, garlic, ketchup, mustard, Worcestershire sauce, bread crumbs, cheddar cheese, eggs, salt, pepper."
226,one bowl chocolate fudge microwave,"[""'semi-sweet chocolate'"", ""'condensed milk'"", ""'vanilla'"", ""'salt'"", ""'nuts'""]","

Milk, cocoa powder, sugar, butter, vanilla extract"
227,ranch style baked beans casserole,"[""'margarine'"", ""'ground beef'"", ""'onion soup mix'"", ""'water'"", ""'catsup'"", ""'mustard'"", ""'vinegar'"", ""'pork'"", ""'kidney beans'""]","

Baked beans, onion, bell pepper, garlic, Worcestershire sauce, ketchup, brown sugar, mustard, bacon, salt, pepper."
228,etta s hungarian coffee cake,"[""'brown sugar'"", ""'flour'"", ""'shortening'"", ""'salt'"", ""'egg'"", ""'baking soda'"", ""'baking powder'"", ""'sour milk'""]","

Flour, Sugar, Baking Powder, Salt, Milk, Eggs, Butter, Vanilla Extract, Cinnamon, Walnuts, Raisins."
229,beer biscuits,"[""'biscuit mix'"", ""'sugar'"", ""'warm beer'""]","

Flour, Sugar, Baking Powder, Salt, Beer, Butter, Egg"
230,baked spaghetti,"[""'onion'"", ""'green pepper'"", ""'butter'"", ""'tomatoes'"", ""'mushroom stems'"", ""'olives'"", ""'oregano'"", ""'ground beef'"", ""'cheddar cheese'"", ""'condensed cream'"", ""'water'"", ""'parmesan cheese'""]","

Spaghetti, Tomato Sauce, Ground Beef, Onion, Garlic, Oregano, Basil, Parmesan Cheese, Mozzarella Cheese"
231,easy apple dumplings,"[""'cooking apples'"", ""'sugar'"", ""'brown sugar'"", ""'water'"", ""'apple pie spice'"", ""'vanilla'"", ""'butter'""]","

Flour, sugar, butter, apples, cinnamon, nutmeg, salt, baking powder, milk, vanilla extract"
232,twinkie dessert,"[""'twinkies'"", ""'strawberry jello'"", ""'water'"", ""'frozen strawberries'"", ""'vanilla instant pudding'""]","

Cake, Cream Filling, Sugar, Corn Syrup, High Fructose Corn Syrup, Water, Partially Hydrogenated Vegetable and/or Animal Shortening, Wheat Flour, Eggs, Dextrose, Leavenings (Sodium Acid Pyrophosphate, Baking Soda, Monocalcium Phosphate), Soy Flour, Salt, Mono and Diglycerides, Polysorbate 60, Soy Lecithin, Natural and Artificial Flavors, Sorbic Acid (Preservative), Yellow 5,"
233,gooey butter cake,"[""'chocolate cake'"", ""'eggs'"", ""'butter'"", ""'cream cheese'"", ""'powdered sugar'"", ""'vanilla'""]","

Butter, Sugar, Eggs, Flour, Cream Cheese, Vanilla Extract, Baking Powder, Salt"
234,corn pudding,"[""'cream-style'"", ""'butter'"", ""'flour'"", ""'eggs'"", ""'sugar'"", ""'milk'"", ""'salt'"", ""'pepper'""]","

Eggs, Milk, Corn, Sugar, Butter, Flour, Salt, Vanilla Extract"
235,honey cake,"[""'eggs'"", ""'honey'"", ""'sugar'"", ""'black coffee'"", ""'baking powder'"", ""'margarine'"", ""'baking soda'"", ""'flour'"", ""'cinnamon'""]","

Flour, baking powder, baking soda, salt, butter, sugar, eggs, honey, milk, vanilla extract"
236,enchiladas,"[""'tomato paste'"", ""'water'"", ""'garlic'"", ""'chili powder'"", ""'lean ground beef'"", ""'green onions'"", ""'shredded monterey jack cheese'"", ""'corn tortillas'""]","

Tortillas, cheese, beans, chicken, onion, garlic, chili powder, cumin, oregano, tomato sauce, sour cream, lettuce, avocado, jalapeno, cilantro."
237,pineapple casserole,"[""'sugar'"", ""'flour'"", ""'cheddar cheese'"", ""'crackers'"", ""'pineapple'"", ""'margarine'""]","

Pineapple, butter, sugar, eggs, bread crumbs, milk, vanilla extract, cinnamon, nutmeg."
238,brunswick stew,"[""'chicken'"", ""'water'"", ""'salt'"", ""'potatoes'"", ""'onion'"", ""'frozen limas'"", ""'corn'"", ""'tomatoes'"", ""'salt'"", ""'butter'""]","

Chicken, pork, potatoes, onions, lima beans, corn, tomatoes, okra, butter, Worcestershire sauce, garlic, paprika, black pepper, cayenne pepper, bay leaves."
239,cheese ball,"[""'cream cheese'"", ""'mayonnaise'"", ""'lemon juice'"", ""'green onions'"", ""'deli beef'"", ""'black olives'"", ""'green bell pepper'"", ""'nuts'"", ""'crackers'""]","

Cream cheese, cheddar cheese, garlic powder, onion powder, Worcestershire sauce, parsley, pecans, bacon bits."
240,marinated carrots,"[""'carrots'"", ""'onion'"", ""'tomato soup'"", ""'salt'"", ""'pepper'"", ""'sugar'"", ""'salad oil'"", ""'vinegar'""]","

Vinegar, sugar, salt, pepper, garlic, olive oil, dill, parsley."
241,blueberry cake,"[""'eggs'"", ""'sugar'"", ""'shortening'"", ""'salt'"", ""'baking powder'"", ""'vanilla'"", ""'flour'"", ""'milk'"", ""'floured blueberries'""]","

Flour, sugar, baking powder, baking soda, salt, butter, eggs, milk, vanilla extract, blueberries"
242,summer squash casserole,"[""'onion'"", ""'cream of chicken soup'"", ""'sour cream'"", ""'stuffing mix'"", ""'butter'""]","

Eggs, summer squash, onion, garlic, butter, bread crumbs, Parmesan cheese, salt, pepper."
243,skor cake,"[""'chocolate cake'"", ""'milk'"", ""'caramel sauce'""]","

Flour, sugar, butter, eggs, baking powder, vanilla extract, chocolate chips, toffee bits, sea salt."
244,never fail pie crust double pie crust,"[""'flour'"", ""'shortening'"", ""'egg'"", ""'water'"", ""'vinegar'"", ""'sugar'"", ""'salt'""]","

Flour, Salt, Shortening, Cold Water"
245,best brownies,"[""'butter'"", ""'cocoa'"", ""'sugar'"", ""'eggs'"", ""'vanilla'"", ""'flour'"", ""'salt'"", ""'flaked coconut'""]","

Butter, sugar, eggs, cocoa powder, flour, baking powder, salt, chocolate chips"
246,mushroom caps stuffed,"[""'mushrooms'"", ""'sweet sausage'"", ""'mozzarella cheese'"", ""'bread crumbs'""]","

Mushrooms, Onion, Garlic, Breadcrumbs, Parmesan Cheese, Parsley, Olive Oil, Salt, Pepper"
247,toffee brickle,"[""'unsalted soda crackers'"", ""'brown sugar'"", ""'butter'"", ""'chocolate chips'""]","

Butter, brown sugar, corn syrup, vanilla extract, chopped nuts, chocolate chips, salt"
248,stir fried veggies medley,"[""'carrots'"", ""'celery stalks'"", ""'onions'"", ""'broccoli'"", ""'mushrooms'"", ""'salad'"", ""'water'"", ""'salt'"", ""'pepper'"", ""'sugar'""]","

Carrots, Broccoli, Bell Peppers, Onion, Garlic, Mushrooms, Soy Sauce, Sesame Oil, Salt, Pepper."
249,bacon and egg breakfast bake,"[""'fully cooked canadian bacon'"", ""'muenster'"", ""'eggs'"", ""'milk'"", ""'pepper'""]","

Eggs, Bacon, Milk, Bread, Salt, Pepper, Cheese"
250,spiced tea,"[""'sugar'"", ""'instant tea'"", ""'cinnamon'"", ""'cloves'"", ""'salt'""]","

Cinnamon, Cloves, Cardamom, Ginger, Black Tea, Honey, Milk"
251,fruit pizza,"[""'cream cheese'"", ""'marshmallow fluff'"", ""'blueberries'""]","

Crust, Cream Cheese, Fruit (Strawberries, Blueberries, Bananas, Kiwi, Pineapple, etc.), Honey, Powdered Sugar, Vanilla Extract"
252,ham roll ups,"[""'ham'"", ""'cream cheese'"", ""'onion'""]","

Ham, cream cheese, tortillas, lettuce, tomatoes, onions, pickles, mustard, mayonnaise."
253,pineapple souffle,"[""'butter'"", ""'sugar'"", ""'pineapple'"", ""'bread'"", ""'eggs'"", ""'milk'"", ""'cinnamon'"", ""'sugar'"", ""'pecans'""]","

Eggs, Pineapple, Sugar, Butter, Flour, Vanilla Extract, Cream of Tartar, Salt"
254,real whipped cream that keeps,"[""'unflavored gelatin'"", ""'cold water'"", ""'heavy cream'"", ""'salt'"", ""'vanilla'"", ""'sugar'""]","

Heavy cream, sugar, vanilla extract"
255,montana mud cake,"[""'margarine'"", ""'sugar'"", ""'cocoa'"", ""'eggs'"", ""'vanilla'"", ""'flour'"", ""'coconut'"", ""'pecans'""]","

Chocolate cake mix, butter, eggs, powdered sugar, cream cheese, vanilla extract, semi-sweet chocolate chips, chopped pecans, caramel ice cream topping, whipped topping"
256,diane s quick quiche,"[""'eggs'"", ""'margarine'"", ""'bisquick'"", ""'salt'"", ""'pepper'"", ""'swiss cheese'"", ""'crisp fried bacon'"", ""'onion'"", ""'basil'"", ""'marjoram'"", ""'broccoli'""]","

Eggs, Milk, Flour, Salt, Butter, Cheese, Onion, Bacon, Spinach."
257,egg drop soup,"[""'peanut oil'"", ""'onion'"", ""'garlic'"", ""'chicken broth'"", ""'soy sauce'"", ""'pepper'"", ""'carrots'"", ""'ginger root'"", ""'lean pork'"", ""'bamboo shoots'"", ""'water chestnuts'"", ""'frozen pea pods'"", ""'sesame oil'"", ""'eggs'""]","

Eggs, chicken broth, cornstarch, scallions, ginger, garlic, sesame oil, salt, pepper."
258,summer berry sauce,"[""'frozen raspberry'"", ""'honey'"", ""'fresh strawberries'"", ""'blueberries'"", ""'frozen raspberries'""]","

Strawberries, Raspberries, Blueberries, Sugar, Lemon Juice, Cornstarch, Water"
259,cherry pie,"[""'graham cracker crust'"", ""'condensed milk'"", ""'lemon juice'"", ""'cherry pie filling'"", ""'cream cheese'"", ""'vanilla'""]","

Cherries, sugar, flour, butter, salt, cinnamon, nutmeg, lemon juice"
260,baked bean casserole,"[""'bacon drippings'"", ""'garlic salt'"", ""'onions'"", ""'pork'"", ""'regular'"", ""'beans'"", ""'catsup'"", ""'dry mustard'"", ""'black pepper'"", ""'salt'"", ""'brown sugar'"", ""'vinegar'""]","

Baked beans, onion, garlic, tomato sauce, Worcestershire sauce, brown sugar, mustard, butter, bread crumbs."
261,pumpkin bread,"[""'pumpkin'"", ""'salad oil'"", ""'sugar'"", ""'flour'"", ""'eggs'"", ""'salt'"", ""'baking powder'"", ""'baking soda'"", ""'cinnamon'"", ""'cloves'"", ""'nutmeg'""]","

Flour, Baking Soda, Salt, Cinnamon, Nutmeg, Cloves, Allspice, Butter, Sugar, Eggs, Pumpkin Puree, Vanilla Extract"
262,fried rice,"[""'onions'"", ""'green pepper'"", ""'salad oil'"", ""'rice'"", ""'mushrooms'"", ""'soy sauce'"", ""'eggs'""]","

Rice, Oil, Onion, Garlic, Carrot, Peas, Soy Sauce, Salt, Pepper"
263,paw paw s pancakes,"[""'eggs'"", ""'sugar'"", ""'flour'"", ""'milk'"", ""'oleo'"", ""'vanilla'""]","

Flour, baking powder, sugar, salt, eggs, milk, butter, paw paw, vanilla extract"
264,speedy white clam sauce,"[""'clams'"", ""'garlic'"", ""'olive oil'"", ""'parsley'"", ""'salt'""]","

Garlic, Olive Oil, White Wine, Clams, Parsley, Salt, Pepper, Butter, Lemon Juice"
265,pineapple cranberry pie,"[""'cranberries'"", ""'pineapple'"", ""'sugar'"", ""'flour'"", ""'cinnamon'"", ""'nutmeg'"", ""'salt'""]","

Crust, pineapple, cranberries, sugar, cornstarch, butter, cinnamon, nutmeg, salt"
266,strawberry yum yum,"[""'margarine'"", ""'graham cracker crumbs'"", ""'dream whip'"", ""'cream cheese'"", ""'sugar'"", ""'cold milk'"", ""'strawberries'""]","

Strawberries, sugar, butter, flour, baking powder, salt, milk, vanilla extract"
267,blueberry cream pie,"[""'commerical sour cream'"", ""'flour'"", ""'sugar'"", ""'vanilla extract'"", ""'salt'"", ""'egg'"", ""'fresh blueberries'"", ""'pastry shell'"", ""'flour'"", ""'butter'"", ""'black walnuts'""]","

Crust, blueberries, sugar, cornstarch, butter, cream, vanilla extract, nutmeg, salt"
268,western style barbecue,"[""'frankfurters'"", ""'butter'"", ""'campbell's chunky'"", ""'whole kernel golden corn'"", ""'lima beans'"", ""'barbecue sauce'""]","

Beef, Pork, Chicken, Ribs, Hot Dogs, Hamburgers, Buns, Barbecue Sauce, Ketchup, Mustard, Relish, Onions, Pickles, Cheese, Lettuce, Tomatoes, Coleslaw, Potato Salad, Corn on the Cob, Baked Beans, Watermelon, Cornbread, Apple Pie."
269,cheese cake,"[""'lemon jell-o'"", ""'boiling water'"", ""'lemon juice'"", ""'cream cheese'"", ""'sugar'"", ""'pineapple'"", ""'vanilla'"", ""'graham crackers'"", ""'oleo'""]","

Cream cheese, sugar, eggs, butter, graham cracker crumbs, vanilla extract, heavy cream, lemon juice."
270,angel food cake,"[""'cake flour'"", ""'sugar'"", ""'egg white'"", ""'cream of tartar'"", ""'salt'"", ""'vanilla'"", ""'almond flavoring'""]","

Egg whites, sugar, cream of tartar, flour, salt, vanilla extract, almond extract"
271,plum nutty cake,"[""'flour'"", ""'sugar'"", ""'oil'"", ""'baby food'"", ""'eggs'"", ""'cinnamon'"", ""'allspice'"", ""'pecans'""]","

Flour, baking powder, baking soda, salt, butter, sugar, eggs, plums, walnuts, vanilla extract"
272,pinto bean pie,"[""'sugar'"", ""'margarine'"", ""'pinto beans'"", ""'eggs'"", ""'vanilla'""]","

Flour, sugar, butter, eggs, pinto beans, baking powder, salt, cinnamon, nutmeg, vanilla extract"
273,speedy little devils,"[""'cake mix'"", ""'peanut butter'"", ""'oleo'"", ""'marshmallow cream'""]","

Tomato, Onion, Garlic, Green Chilli, Coriander, Cumin, Turmeric, Red Chilli Powder, Salt, Oil"
274,martha washington candy,"[""'confectioners sugar'"", ""'milk'"", ""'vanilla'"", ""'coconut'"", ""'pecans'"", ""'chocolate'"", ""'paraffin'""]","

Sugar, Corn Syrup, Coconut Oil, Cocoa, Salt, Natural and Artificial Flavors, Soy Lecithin, Artificial Color (Red 40, Yellow 5, Blue 1)."
275,hour salad,"[""'head lettuce'"", ""'onion'"", ""'bacon bits'"", ""'mayonnaise'"", ""'swiss cheese'"", ""'cauliflower'"", ""'celery'"", ""'frozen peas'"", ""'sugar'""]","

Tomatoes, cucumbers, lettuce, onions, olives, feta cheese, olive oil, vinegar, salt, pepper."
276,rocky road fudge,"[""'margarine'"", ""'unsweetened cocoa'"", ""'light corn syrup'"", ""'water'"", ""'vanilla'"", ""'confectioners sugar'"", ""'marshmallows'"", ""'nuts'""]","

Chocolate, marshmallows, walnuts, butter, sugar, evaporated milk, vanilla extract"
277,ice cream,"[""'eggs'"", ""'sugar'"", ""'milk'"", ""'cream'"", ""'vanilla'"", ""'salt'"", ""'milk'""]","

Milk, Cream, Sugar, Flavoring, Colorings, Emulsifiers, Stabilizers"
278,no bake persimmon pudding,"[""'persimmon pulp'"", ""'powdered sugar'"", ""'graham cracker crumbs'"", ""'peanuts'"", ""'marshmallows'"", ""'whipped cream'""]","

Persimmons, sugar, butter, eggs, heavy cream, vanilla extract, ground cinnamon, ground nutmeg, ground ginger, ground cloves, salt."
279,fruitcake cookies,"[""'light brown sugar'"", ""'eggs'"", ""'flour'"", ""'cinnamon'"", ""'milk'"", ""'candied fruit'"", ""'pecans'""]","

Flour, Sugar, Butter, Eggs, Raisins, Currants, Mixed Peel, Mixed Spice, Baking Powder, Milk, Dried Fruit, Nuts, Vanilla Extract"
280,chicken and tortilla casserole,"[""'chicken'"", ""'tortillas'"", ""'onion'"", ""'green pepper'"", ""'mushroom soup'"", ""'cream of chicken soup'"", ""'tomatoes'"", ""'chili powder'"", ""'garlic salt'"", ""'cheddar cheese'""]","

Chicken, Tortillas, Onion, Garlic, Green Chilies, Cumin, Chili Powder, Salt, Pepper, Cheese, Sour Cream, Milk, Olives, Tomatoes"
281,fruit pizza,"[""'cream cheese'"", ""'fresh fruits'"", ""'powdered sugar'"", ""'coconut'""]","

Crust, Cream Cheese, Fruit (Strawberries, Blueberries, Bananas, Kiwi, Pineapple, etc.), Honey, Powdered Sugar, Vanilla Extract"
282,harvard beets,"[""'butter'"", ""'flour'"", ""'boiling water'"", ""'vinegar'"", ""'brown sugar'"", ""'salt'"", ""'pepper'"", ""'ground cloves'""]","

Beets, sugar, vinegar, water, onion, cloves, cinnamon, allspice, nutmeg, salt."
283,clam chowder,"[""'bacon'"", ""'potatoes'"", ""'onion'"", ""'clams'"", ""'water'"", ""'butter'"", ""'salt'""]","

Potatoes, Clams, Onion, Celery, Carrots, Butter, Flour, Milk, Cream, Salt, Pepper"
284,easy cranberry relish,"[""'fresh cranberries'"", ""'sugar'"", ""'orange'"", ""'walnuts'""]","

Cranberries, Orange, Sugar, Cinnamon, Nutmeg, Cloves"
285,banana omelette,"[""'butter'"", ""'bananas'"", ""'eggs'"", ""'salt'"", ""'cayenne pepper'"", ""'milk'"", ""'parsley'""]","

Eggs, Banana, Milk, Salt, Butter, Sugar, Cinnamon"
286,taco soup,"[""'hamburger'"", ""'onion'"", ""'taco'"", ""'kidney beans'"", ""'butter beans'"", ""'tomatoes'"", ""'tomato sauce'"", ""'tomato juice'""]","

Tomatoes, Onion, Garlic, Ground Beef, Chili Powder, Cumin, Oregano, Corn, Black Beans, Kidney Beans, Beef Broth, Tomato Sauce, Green Chilies, Salt, Pepper"
287,frosty pudding cones,"[""'condensed milk'"", ""'lemon juice'"", ""'sugar'"", ""'whipped cream'"", ""'fruit yogurt'""]","

Vanilla ice cream, chocolate syrup, sprinkles, whipped cream, cherries, waffle cones"
288,easy marinade,"[""'soy sauce'"", ""'oil'"", ""'red wine vinegar'"", ""'oregano'"", ""'basil'"", ""'onion'"", ""'pepper'""]","

Soy sauce, garlic, honey, olive oil, lemon juice, Worcestershire sauce, black pepper, red pepper flakes."
289,pina colada muffins,"[""'yellow cake'"", ""'coconut flavoring'"", ""'rum flavoring'"", ""'coconut'"", ""'nuts'"", ""'pineapple'""]","

Flour, Sugar, Baking Powder, Salt, Coconut Milk, Pineapple Juice, Pineapple Chunks, Coconut Flakes, Butter, Eggs, Vanilla Extract"
290,oriental tossed salad,"[""'sugar'"", ""'red wine vinegar'"", ""'oil'"", ""'soy sauce'"", ""'ramen noodles'"", ""'walnuts'"", ""'green onion'"", ""'broccoli florets'"", ""'romaine lettuce'""]","

Lettuce, Carrots, Cucumbers, Tomatoes, Red Onion, Sesame Seeds, Rice Noodles, Soy Sauce, Sesame Oil, Rice Vinegar, Ginger, Garlic, Salt, Pepper."
291,applesauce cake,"[""'white sugar'"", ""'brown sugar'"", ""'margarine'"", ""'oil'"", ""'applesauce'"", ""'soda'"", ""'salt'"", ""'eggs'"", ""'ground raisins'"", ""'walnuts'"", ""'flour'"", ""'cinnamon'"", ""'cloves'""]","

Flour, sugar, baking powder, baking soda, salt, cinnamon, nutmeg, applesauce, eggs, butter, vanilla extract"
292,mayonnaise,"[""'oil'"", ""'lemon'"", ""'egg yolk'"", ""'honey'""]","

Egg yolks, oil, vinegar or lemon juice, mustard, salt, sugar, pepper"
293,shepherd s pie,"[""'hamburg'"", ""'onion'"", ""'salt'"", ""'pepper'"", ""'potatoes'""]","

Ground beef, onion, garlic, carrots, celery, potatoes, Worcestershire sauce, beef broth, butter, flour, frozen peas, salt, pepper."
294,fresh apple cake,"[""'apple'"", ""'flour'"", ""'sugar'"", ""'shortening'"", ""'eggs'"", ""'salt'"", ""'baking soda'"", ""'vanilla'"", ""'nutmeg'"", ""'cinnamon'"", ""'nuts'""]","

Flour, Sugar, Baking Powder, Salt, Apples, Butter, Eggs, Vanilla Extract, Cinnamon, Nutmeg"
295,brown rice pizza light,"[""'brown rice'"", ""'mozzarella cheese'"", ""'egg'"", ""'oregano'"", ""'broccoli flowerets'"", ""'zucchini'"", ""'mushrooms'"", ""'onion'"", ""'tomato sauce'""]","

Brown Rice Flour, Water, Olive Oil, Salt, Yeast, Sugar, Garlic, Oregano, Basil, Mozzarella Cheese, Tomatoes, Mushrooms, Onions, Bell Peppers."
296,chicken over rice,"[""'onion'"", ""'bell peppers'"", ""'celery'"", ""'chicken broth'"", ""'potatoes'"", ""'soy sauce'""]","

Chicken, Rice, Onion, Garlic, Olive Oil, Salt, Pepper, Paprika, Thyme, Parsley"
297,meatball chop suey,"[""'ground beef'"", ""'bread crumbs'"", ""'milk'"", ""'onion'"", ""'egg'"", ""'salt'"", ""'pepper'"", ""'lard'"", ""'water'"", ""'soy sauce'"", ""'celery'"", ""'cornstarch'"", ""'cold water'"", ""'bean sprouts'"", ""'mushroom stems'"", ""'rice'""]","

Ground beef, onion, garlic, soy sauce, oyster sauce, sugar, cornstarch, vegetable oil, bell pepper, mushrooms, bean sprouts, water chestnuts, celery, carrots, green onions, salt, pepper."
298,vegetable beef soup,"[""'ground beef'"", ""'tomatoes'"", ""'tomato soup'"", ""'onion'"", ""'water'"", ""'mixed vegetables'"", ""'potatoes'"", ""'celery'"", ""'salt'"", ""'pepper'""]","

Carrots, celery, potatoes, beef, onion, tomatoes, beef broth, green beans, garlic, bay leaves, thyme, parsley, salt, pepper"
299,hawaiian marshmallow pie,"[""'marshmallows'"", ""'pineapple'"", ""'graham cracker crumb crust'""]","

Graham cracker crust, marshmallows, sweetened condensed milk, pineapple, coconut, whipped cream, maraschino cherries"
300,sugar free sweet n sour stir fry,"[""'vegetable oil'"", ""'stalks celery'"", ""'cabbage'"", ""'water chestnuts'"", ""'n'"", ""'carrots'"", ""'onion'"", ""'zucchini'"", ""'green pepper'""]","

Bell peppers, onion, garlic, pineapple, carrots, celery, low-sodium soy sauce, rice vinegar, sesame oil, ginger, red pepper flakes, arrowroot powder, water, salt, black pepper."
301,graham cracker bars,"[""'crackers'"", ""'margarine'"", ""'butter'"", ""'sugar'"", ""'pecans'""]","

Graham cracker crumbs, butter, sugar, condensed milk, chocolate chips, chopped nuts"
302,red cabbage,"[""'bacon'"", ""'onion'"", ""'red cabbage'"", ""'cooking apples'"", ""'wine vinegar'"", ""'sugar'"", ""'salt'"", ""'currant jelly'""]","

Red Cabbage, Water, Salt, Vinegar, Sugar, Onion, Garlic, Cloves, Allspice, Bay Leaves, Black Pepper"
303,ambrosia salad,"[""'pineapple'"", ""'mandarin oranges'"", ""'maraschino cherries'"", ""'sour cream'"", ""'marshmallows'"", ""'flaked coconut'""]","

Marshmallows, pineapple, mandarin oranges, coconut flakes, sour cream, mini marshmallows, maraschino cherries, walnuts, yogurt."
304,sour cream pound cake,"[""'sugar'"", ""'margarine'"", ""'crisco'"", ""'eggs'"", ""'cake flour'"", ""'sour cream'"", ""'vanilla flavoring'""]","

Butter, sugar, eggs, sour cream, all-purpose flour, baking powder, salt, vanilla extract"
305,soft delicious pumpkin bars,"[""'flour'"", ""'baking powder'"", ""'salt'"", ""'cinnamon'"", ""'eggs'"", ""'nuts'"", ""'pumpkin'"", ""'soda'"", ""'sugar'"", ""'oil'""]","

Flour, baking powder, baking soda, salt, cinnamon, nutmeg, ginger, butter, sugar, eggs, pumpkin puree, vanilla extract, cream cheese, powdered sugar"
306,barbecue sauce,"[""'tomato sauce'"", ""'brown sugar'"", ""'vinegar'"", ""'onion'"", ""'salt'"", ""'garlic powder'""]","

Tomato paste, brown sugar, Worcestershire sauce, apple cider vinegar, garlic, onion powder, smoked paprika, chili powder, mustard powder, black pepper, cayenne pepper."
